,X,Y_True
96,Original_Tiles_Resized 1085.png,Layer_Labeled_Resized 1085.npy
97,Original_Tiles_Resized 1086.png,Layer_Labeled_Resized 1086.npy
98,Original_Tiles_Resized 1087.png,Layer_Labeled_Resized 1087.npy
99,Original_Tiles_Resized 1088.png,Layer_Labeled_Resized 1088.npy
100,Original_Tiles_Resized 1089.png,Layer_Labeled_Resized 1089.npy
101,Original_Tiles_Resized 109.png,Layer_Labeled_Resized 109.npy
102,Original_Tiles_Resized 1090.png,Layer_Labeled_Resized 1090.npy
103,Original_Tiles_Resized 1091.png,Layer_Labeled_Resized 1091.npy
104,Original_Tiles_Resized 1092.png,Layer_Labeled_Resized 1092.npy
105,Original_Tiles_Resized 1093.png,Layer_Labeled_Resized 1093.npy
106,Original_Tiles_Resized 1094.png,Layer_Labeled_Resized 1094.npy
107,Original_Tiles_Resized 1095.png,Layer_Labeled_Resized 1095.npy
108,Original_Tiles_Resized 1096.png,Layer_Labeled_Resized 1096.npy
109,Original_Tiles_Resized 1097.png,Layer_Labeled_Resized 1097.npy
110,Original_Tiles_Resized 1098.png,Layer_Labeled_Resized 1098.npy
111,Original_Tiles_Resized 1099.png,Layer_Labeled_Resized 1099.npy
112,Original_Tiles_Resized 11.png,Layer_Labeled_Resized 11.npy
113,Original_Tiles_Resized 110.png,Layer_Labeled_Resized 110.npy
114,Original_Tiles_Resized 1100.png,Layer_Labeled_Resized 1100.npy
115,Original_Tiles_Resized 1101.png,Layer_Labeled_Resized 1101.npy
116,Original_Tiles_Resized 1102.png,Layer_Labeled_Resized 1102.npy
117,Original_Tiles_Resized 1103.png,Layer_Labeled_Resized 1103.npy
118,Original_Tiles_Resized 1104.png,Layer_Labeled_Resized 1104.npy
119,Original_Tiles_Resized 1105.png,Layer_Labeled_Resized 1105.npy
120,Original_Tiles_Resized 1106.png,Layer_Labeled_Resized 1106.npy
121,Original_Tiles_Resized 1107.png,Layer_Labeled_Resized 1107.npy
122,Original_Tiles_Resized 1108.png,Layer_Labeled_Resized 1108.npy
123,Original_Tiles_Resized 1109.png,Layer_Labeled_Resized 1109.npy
124,Original_Tiles_Resized 111.png,Layer_Labeled_Resized 111.npy
125,Original_Tiles_Resized 1110.png,Layer_Labeled_Resized 1110.npy
126,Original_Tiles_Resized 1111.png,Layer_Labeled_Resized 1111.npy
127,Original_Tiles_Resized 1112.png,Layer_Labeled_Resized 1112.npy
128,Original_Tiles_Resized 1113.png,Layer_Labeled_Resized 1113.npy
129,Original_Tiles_Resized 1114.png,Layer_Labeled_Resized 1114.npy
130,Original_Tiles_Resized 1115.png,Layer_Labeled_Resized 1115.npy
131,Original_Tiles_Resized 1116.png,Layer_Labeled_Resized 1116.npy
132,Original_Tiles_Resized 1117.png,Layer_Labeled_Resized 1117.npy
133,Original_Tiles_Resized 1118.png,Layer_Labeled_Resized 1118.npy
134,Original_Tiles_Resized 1119.png,Layer_Labeled_Resized 1119.npy
135,Original_Tiles_Resized 112.png,Layer_Labeled_Resized 112.npy
136,Original_Tiles_Resized 1120.png,Layer_Labeled_Resized 1120.npy
137,Original_Tiles_Resized 1121.png,Layer_Labeled_Resized 1121.npy
138,Original_Tiles_Resized 1122.png,Layer_Labeled_Resized 1122.npy
139,Original_Tiles_Resized 1123.png,Layer_Labeled_Resized 1123.npy
140,Original_Tiles_Resized 1124.png,Layer_Labeled_Resized 1124.npy
141,Original_Tiles_Resized 1125.png,Layer_Labeled_Resized 1125.npy
142,Original_Tiles_Resized 1126.png,Layer_Labeled_Resized 1126.npy
143,Original_Tiles_Resized 1127.png,Layer_Labeled_Resized 1127.npy
144,Original_Tiles_Resized 1128.png,Layer_Labeled_Resized 1128.npy
145,Original_Tiles_Resized 1129.png,Layer_Labeled_Resized 1129.npy
146,Original_Tiles_Resized 113.png,Layer_Labeled_Resized 113.npy
147,Original_Tiles_Resized 1130.png,Layer_Labeled_Resized 1130.npy
148,Original_Tiles_Resized 1131.png,Layer_Labeled_Resized 1131.npy
149,Original_Tiles_Resized 1132.png,Layer_Labeled_Resized 1132.npy
150,Original_Tiles_Resized 1133.png,Layer_Labeled_Resized 1133.npy
151,Original_Tiles_Resized 1134.png,Layer_Labeled_Resized 1134.npy
152,Original_Tiles_Resized 1135.png,Layer_Labeled_Resized 1135.npy
153,Original_Tiles_Resized 1136.png,Layer_Labeled_Resized 1136.npy
154,Original_Tiles_Resized 1137.png,Layer_Labeled_Resized 1137.npy
155,Original_Tiles_Resized 1138.png,Layer_Labeled_Resized 1138.npy
156,Original_Tiles_Resized 1139.png,Layer_Labeled_Resized 1139.npy
157,Original_Tiles_Resized 114.png,Layer_Labeled_Resized 114.npy
158,Original_Tiles_Resized 1140.png,Layer_Labeled_Resized 1140.npy
159,Original_Tiles_Resized 1141.png,Layer_Labeled_Resized 1141.npy
160,Original_Tiles_Resized 1142.png,Layer_Labeled_Resized 1142.npy
161,Original_Tiles_Resized 1143.png,Layer_Labeled_Resized 1143.npy
162,Original_Tiles_Resized 1144.png,Layer_Labeled_Resized 1144.npy
163,Original_Tiles_Resized 1145.png,Layer_Labeled_Resized 1145.npy
164,Original_Tiles_Resized 1146.png,Layer_Labeled_Resized 1146.npy
165,Original_Tiles_Resized 1147.png,Layer_Labeled_Resized 1147.npy
166,Original_Tiles_Resized 1148.png,Layer_Labeled_Resized 1148.npy
167,Original_Tiles_Resized 1149.png,Layer_Labeled_Resized 1149.npy
168,Original_Tiles_Resized 115.png,Layer_Labeled_Resized 115.npy
169,Original_Tiles_Resized 1150.png,Layer_Labeled_Resized 1150.npy
170,Original_Tiles_Resized 1151.png,Layer_Labeled_Resized 1151.npy
171,Original_Tiles_Resized 1152.png,Layer_Labeled_Resized 1152.npy
172,Original_Tiles_Resized 1153.png,Layer_Labeled_Resized 1153.npy
173,Original_Tiles_Resized 1154.png,Layer_Labeled_Resized 1154.npy
174,Original_Tiles_Resized 1155.png,Layer_Labeled_Resized 1155.npy
175,Original_Tiles_Resized 1156.png,Layer_Labeled_Resized 1156.npy
176,Original_Tiles_Resized 1157.png,Layer_Labeled_Resized 1157.npy
177,Original_Tiles_Resized 1158.png,Layer_Labeled_Resized 1158.npy
178,Original_Tiles_Resized 1159.png,Layer_Labeled_Resized 1159.npy
179,Original_Tiles_Resized 116.png,Layer_Labeled_Resized 116.npy
180,Original_Tiles_Resized 1160.png,Layer_Labeled_Resized 1160.npy
181,Original_Tiles_Resized 1161.png,Layer_Labeled_Resized 1161.npy
182,Original_Tiles_Resized 1162.png,Layer_Labeled_Resized 1162.npy
183,Original_Tiles_Resized 1163.png,Layer_Labeled_Resized 1163.npy
184,Original_Tiles_Resized 1164.png,Layer_Labeled_Resized 1164.npy
185,Original_Tiles_Resized 1165.png,Layer_Labeled_Resized 1165.npy
186,Original_Tiles_Resized 1166.png,Layer_Labeled_Resized 1166.npy
187,Original_Tiles_Resized 1167.png,Layer_Labeled_Resized 1167.npy
188,Original_Tiles_Resized 1168.png,Layer_Labeled_Resized 1168.npy
189,Original_Tiles_Resized 1169.png,Layer_Labeled_Resized 1169.npy
190,Original_Tiles_Resized 117.png,Layer_Labeled_Resized 117.npy
191,Original_Tiles_Resized 1170.png,Layer_Labeled_Resized 1170.npy
192,Original_Tiles_Resized 1171.png,Layer_Labeled_Resized 1171.npy
193,Original_Tiles_Resized 1172.png,Layer_Labeled_Resized 1172.npy
194,Original_Tiles_Resized 1173.png,Layer_Labeled_Resized 1173.npy
195,Original_Tiles_Resized 1174.png,Layer_Labeled_Resized 1174.npy
196,Original_Tiles_Resized 1175.png,Layer_Labeled_Resized 1175.npy
197,Original_Tiles_Resized 1176.png,Layer_Labeled_Resized 1176.npy
198,Original_Tiles_Resized 1177.png,Layer_Labeled_Resized 1177.npy
199,Original_Tiles_Resized 1178.png,Layer_Labeled_Resized 1178.npy
200,Original_Tiles_Resized 1179.png,Layer_Labeled_Resized 1179.npy
201,Original_Tiles_Resized 118.png,Layer_Labeled_Resized 118.npy
202,Original_Tiles_Resized 1180.png,Layer_Labeled_Resized 1180.npy
203,Original_Tiles_Resized 1181.png,Layer_Labeled_Resized 1181.npy
204,Original_Tiles_Resized 1182.png,Layer_Labeled_Resized 1182.npy
205,Original_Tiles_Resized 1183.png,Layer_Labeled_Resized 1183.npy
206,Original_Tiles_Resized 1184.png,Layer_Labeled_Resized 1184.npy
207,Original_Tiles_Resized 1185.png,Layer_Labeled_Resized 1185.npy
208,Original_Tiles_Resized 1186.png,Layer_Labeled_Resized 1186.npy
209,Original_Tiles_Resized 1187.png,Layer_Labeled_Resized 1187.npy
210,Original_Tiles_Resized 1188.png,Layer_Labeled_Resized 1188.npy
211,Original_Tiles_Resized 1189.png,Layer_Labeled_Resized 1189.npy
212,Original_Tiles_Resized 119.png,Layer_Labeled_Resized 119.npy
213,Original_Tiles_Resized 1190.png,Layer_Labeled_Resized 1190.npy
214,Original_Tiles_Resized 1191.png,Layer_Labeled_Resized 1191.npy
215,Original_Tiles_Resized 1192.png,Layer_Labeled_Resized 1192.npy
216,Original_Tiles_Resized 1193.png,Layer_Labeled_Resized 1193.npy
217,Original_Tiles_Resized 1194.png,Layer_Labeled_Resized 1194.npy
218,Original_Tiles_Resized 1195.png,Layer_Labeled_Resized 1195.npy
219,Original_Tiles_Resized 1196.png,Layer_Labeled_Resized 1196.npy
220,Original_Tiles_Resized 1197.png,Layer_Labeled_Resized 1197.npy
221,Original_Tiles_Resized 1198.png,Layer_Labeled_Resized 1198.npy
222,Original_Tiles_Resized 1199.png,Layer_Labeled_Resized 1199.npy
223,Original_Tiles_Resized 12.png,Layer_Labeled_Resized 12.npy
224,Original_Tiles_Resized 120.png,Layer_Labeled_Resized 120.npy
225,Original_Tiles_Resized 1200.png,Layer_Labeled_Resized 1200.npy
226,Original_Tiles_Resized 1201.png,Layer_Labeled_Resized 1201.npy
227,Original_Tiles_Resized 1202.png,Layer_Labeled_Resized 1202.npy
228,Original_Tiles_Resized 1203.png,Layer_Labeled_Resized 1203.npy
229,Original_Tiles_Resized 1204.png,Layer_Labeled_Resized 1204.npy
230,Original_Tiles_Resized 1205.png,Layer_Labeled_Resized 1205.npy
231,Original_Tiles_Resized 1206.png,Layer_Labeled_Resized 1206.npy
232,Original_Tiles_Resized 1207.png,Layer_Labeled_Resized 1207.npy
233,Original_Tiles_Resized 1208.png,Layer_Labeled_Resized 1208.npy
234,Original_Tiles_Resized 1209.png,Layer_Labeled_Resized 1209.npy
235,Original_Tiles_Resized 121.png,Layer_Labeled_Resized 121.npy
236,Original_Tiles_Resized 1210.png,Layer_Labeled_Resized 1210.npy
237,Original_Tiles_Resized 1211.png,Layer_Labeled_Resized 1211.npy
238,Original_Tiles_Resized 1212.png,Layer_Labeled_Resized 1212.npy
239,Original_Tiles_Resized 1213.png,Layer_Labeled_Resized 1213.npy
240,Original_Tiles_Resized 1214.png,Layer_Labeled_Resized 1214.npy
241,Original_Tiles_Resized 1215.png,Layer_Labeled_Resized 1215.npy
242,Original_Tiles_Resized 1216.png,Layer_Labeled_Resized 1216.npy
243,Original_Tiles_Resized 1217.png,Layer_Labeled_Resized 1217.npy
244,Original_Tiles_Resized 1218.png,Layer_Labeled_Resized 1218.npy
245,Original_Tiles_Resized 1219.png,Layer_Labeled_Resized 1219.npy
246,Original_Tiles_Resized 122.png,Layer_Labeled_Resized 122.npy
247,Original_Tiles_Resized 1220.png,Layer_Labeled_Resized 1220.npy
248,Original_Tiles_Resized 1221.png,Layer_Labeled_Resized 1221.npy
249,Original_Tiles_Resized 1222.png,Layer_Labeled_Resized 1222.npy
250,Original_Tiles_Resized 1223.png,Layer_Labeled_Resized 1223.npy
251,Original_Tiles_Resized 1224.png,Layer_Labeled_Resized 1224.npy
252,Original_Tiles_Resized 1225.png,Layer_Labeled_Resized 1225.npy
253,Original_Tiles_Resized 1226.png,Layer_Labeled_Resized 1226.npy
254,Original_Tiles_Resized 1227.png,Layer_Labeled_Resized 1227.npy
255,Original_Tiles_Resized 1228.png,Layer_Labeled_Resized 1228.npy
256,Original_Tiles_Resized 1229.png,Layer_Labeled_Resized 1229.npy
257,Original_Tiles_Resized 123.png,Layer_Labeled_Resized 123.npy
258,Original_Tiles_Resized 1230.png,Layer_Labeled_Resized 1230.npy
259,Original_Tiles_Resized 1231.png,Layer_Labeled_Resized 1231.npy
260,Original_Tiles_Resized 1232.png,Layer_Labeled_Resized 1232.npy
261,Original_Tiles_Resized 1233.png,Layer_Labeled_Resized 1233.npy
262,Original_Tiles_Resized 1234.png,Layer_Labeled_Resized 1234.npy
263,Original_Tiles_Resized 1235.png,Layer_Labeled_Resized 1235.npy
264,Original_Tiles_Resized 1236.png,Layer_Labeled_Resized 1236.npy
265,Original_Tiles_Resized 1237.png,Layer_Labeled_Resized 1237.npy
266,Original_Tiles_Resized 1238.png,Layer_Labeled_Resized 1238.npy
267,Original_Tiles_Resized 1239.png,Layer_Labeled_Resized 1239.npy
268,Original_Tiles_Resized 124.png,Layer_Labeled_Resized 124.npy
269,Original_Tiles_Resized 1240.png,Layer_Labeled_Resized 1240.npy
270,Original_Tiles_Resized 1241.png,Layer_Labeled_Resized 1241.npy
271,Original_Tiles_Resized 1242.png,Layer_Labeled_Resized 1242.npy
272,Original_Tiles_Resized 1243.png,Layer_Labeled_Resized 1243.npy
273,Original_Tiles_Resized 1244.png,Layer_Labeled_Resized 1244.npy
274,Original_Tiles_Resized 1245.png,Layer_Labeled_Resized 1245.npy
275,Original_Tiles_Resized 1246.png,Layer_Labeled_Resized 1246.npy
276,Original_Tiles_Resized 1247.png,Layer_Labeled_Resized 1247.npy
277,Original_Tiles_Resized 1248.png,Layer_Labeled_Resized 1248.npy
278,Original_Tiles_Resized 1249.png,Layer_Labeled_Resized 1249.npy
279,Original_Tiles_Resized 125.png,Layer_Labeled_Resized 125.npy
280,Original_Tiles_Resized 1250.png,Layer_Labeled_Resized 1250.npy
281,Original_Tiles_Resized 1251.png,Layer_Labeled_Resized 1251.npy
282,Original_Tiles_Resized 1252.png,Layer_Labeled_Resized 1252.npy
283,Original_Tiles_Resized 1253.png,Layer_Labeled_Resized 1253.npy
284,Original_Tiles_Resized 1254.png,Layer_Labeled_Resized 1254.npy
285,Original_Tiles_Resized 1255.png,Layer_Labeled_Resized 1255.npy
286,Original_Tiles_Resized 1256.png,Layer_Labeled_Resized 1256.npy
287,Original_Tiles_Resized 1257.png,Layer_Labeled_Resized 1257.npy
288,Original_Tiles_Resized 1258.png,Layer_Labeled_Resized 1258.npy
289,Original_Tiles_Resized 1259.png,Layer_Labeled_Resized 1259.npy
290,Original_Tiles_Resized 126.png,Layer_Labeled_Resized 126.npy
291,Original_Tiles_Resized 1260.png,Layer_Labeled_Resized 1260.npy
292,Original_Tiles_Resized 1261.png,Layer_Labeled_Resized 1261.npy
293,Original_Tiles_Resized 1262.png,Layer_Labeled_Resized 1262.npy
294,Original_Tiles_Resized 1263.png,Layer_Labeled_Resized 1263.npy
295,Original_Tiles_Resized 1264.png,Layer_Labeled_Resized 1264.npy
296,Original_Tiles_Resized 1265.png,Layer_Labeled_Resized 1265.npy
297,Original_Tiles_Resized 1266.png,Layer_Labeled_Resized 1266.npy
298,Original_Tiles_Resized 1267.png,Layer_Labeled_Resized 1267.npy
299,Original_Tiles_Resized 1268.png,Layer_Labeled_Resized 1268.npy
300,Original_Tiles_Resized 1269.png,Layer_Labeled_Resized 1269.npy
301,Original_Tiles_Resized 127.png,Layer_Labeled_Resized 127.npy
302,Original_Tiles_Resized 1270.png,Layer_Labeled_Resized 1270.npy
303,Original_Tiles_Resized 1271.png,Layer_Labeled_Resized 1271.npy
304,Original_Tiles_Resized 1272.png,Layer_Labeled_Resized 1272.npy
305,Original_Tiles_Resized 1273.png,Layer_Labeled_Resized 1273.npy
306,Original_Tiles_Resized 1274.png,Layer_Labeled_Resized 1274.npy
307,Original_Tiles_Resized 1275.png,Layer_Labeled_Resized 1275.npy
308,Original_Tiles_Resized 1276.png,Layer_Labeled_Resized 1276.npy
309,Original_Tiles_Resized 1277.png,Layer_Labeled_Resized 1277.npy
310,Original_Tiles_Resized 1278.png,Layer_Labeled_Resized 1278.npy
311,Original_Tiles_Resized 1279.png,Layer_Labeled_Resized 1279.npy
312,Original_Tiles_Resized 128.png,Layer_Labeled_Resized 128.npy
313,Original_Tiles_Resized 1280.png,Layer_Labeled_Resized 1280.npy
314,Original_Tiles_Resized 1281.png,Layer_Labeled_Resized 1281.npy
315,Original_Tiles_Resized 1282.png,Layer_Labeled_Resized 1282.npy
316,Original_Tiles_Resized 1283.png,Layer_Labeled_Resized 1283.npy
317,Original_Tiles_Resized 1284.png,Layer_Labeled_Resized 1284.npy
318,Original_Tiles_Resized 1285.png,Layer_Labeled_Resized 1285.npy
319,Original_Tiles_Resized 1286.png,Layer_Labeled_Resized 1286.npy
320,Original_Tiles_Resized 1287.png,Layer_Labeled_Resized 1287.npy
321,Original_Tiles_Resized 1288.png,Layer_Labeled_Resized 1288.npy
322,Original_Tiles_Resized 1289.png,Layer_Labeled_Resized 1289.npy
323,Original_Tiles_Resized 129.png,Layer_Labeled_Resized 129.npy
324,Original_Tiles_Resized 1290.png,Layer_Labeled_Resized 1290.npy
325,Original_Tiles_Resized 1291.png,Layer_Labeled_Resized 1291.npy
326,Original_Tiles_Resized 1292.png,Layer_Labeled_Resized 1292.npy
327,Original_Tiles_Resized 1293.png,Layer_Labeled_Resized 1293.npy
328,Original_Tiles_Resized 1294.png,Layer_Labeled_Resized 1294.npy
329,Original_Tiles_Resized 1295.png,Layer_Labeled_Resized 1295.npy
330,Original_Tiles_Resized 1296.png,Layer_Labeled_Resized 1296.npy
331,Original_Tiles_Resized 1297.png,Layer_Labeled_Resized 1297.npy
332,Original_Tiles_Resized 1298.png,Layer_Labeled_Resized 1298.npy
333,Original_Tiles_Resized 1299.png,Layer_Labeled_Resized 1299.npy
334,Original_Tiles_Resized 13.png,Layer_Labeled_Resized 13.npy
335,Original_Tiles_Resized 130.png,Layer_Labeled_Resized 130.npy
336,Original_Tiles_Resized 1300.png,Layer_Labeled_Resized 1300.npy
337,Original_Tiles_Resized 1301.png,Layer_Labeled_Resized 1301.npy
338,Original_Tiles_Resized 1302.png,Layer_Labeled_Resized 1302.npy
339,Original_Tiles_Resized 1303.png,Layer_Labeled_Resized 1303.npy
340,Original_Tiles_Resized 1304.png,Layer_Labeled_Resized 1304.npy
341,Original_Tiles_Resized 1305.png,Layer_Labeled_Resized 1305.npy
342,Original_Tiles_Resized 1306.png,Layer_Labeled_Resized 1306.npy
343,Original_Tiles_Resized 1307.png,Layer_Labeled_Resized 1307.npy
344,Original_Tiles_Resized 1308.png,Layer_Labeled_Resized 1308.npy
345,Original_Tiles_Resized 1309.png,Layer_Labeled_Resized 1309.npy
346,Original_Tiles_Resized 131.png,Layer_Labeled_Resized 131.npy
347,Original_Tiles_Resized 1310.png,Layer_Labeled_Resized 1310.npy
348,Original_Tiles_Resized 1311.png,Layer_Labeled_Resized 1311.npy
349,Original_Tiles_Resized 1312.png,Layer_Labeled_Resized 1312.npy
350,Original_Tiles_Resized 1313.png,Layer_Labeled_Resized 1313.npy
351,Original_Tiles_Resized 1314.png,Layer_Labeled_Resized 1314.npy
352,Original_Tiles_Resized 1315.png,Layer_Labeled_Resized 1315.npy
353,Original_Tiles_Resized 1316.png,Layer_Labeled_Resized 1316.npy
354,Original_Tiles_Resized 1317.png,Layer_Labeled_Resized 1317.npy
355,Original_Tiles_Resized 1318.png,Layer_Labeled_Resized 1318.npy
356,Original_Tiles_Resized 1319.png,Layer_Labeled_Resized 1319.npy
357,Original_Tiles_Resized 132.png,Layer_Labeled_Resized 132.npy
358,Original_Tiles_Resized 1320.png,Layer_Labeled_Resized 1320.npy
359,Original_Tiles_Resized 1321.png,Layer_Labeled_Resized 1321.npy
360,Original_Tiles_Resized 1322.png,Layer_Labeled_Resized 1322.npy
361,Original_Tiles_Resized 1323.png,Layer_Labeled_Resized 1323.npy
362,Original_Tiles_Resized 1324.png,Layer_Labeled_Resized 1324.npy
363,Original_Tiles_Resized 1325.png,Layer_Labeled_Resized 1325.npy
364,Original_Tiles_Resized 1326.png,Layer_Labeled_Resized 1326.npy
365,Original_Tiles_Resized 1327.png,Layer_Labeled_Resized 1327.npy
366,Original_Tiles_Resized 1328.png,Layer_Labeled_Resized 1328.npy
367,Original_Tiles_Resized 1329.png,Layer_Labeled_Resized 1329.npy
368,Original_Tiles_Resized 133.png,Layer_Labeled_Resized 133.npy
369,Original_Tiles_Resized 1330.png,Layer_Labeled_Resized 1330.npy
